"stock" "scenario" "catch" "quota"
"1" "COD-NS" "COD-NS" 14276 14276
"2" "COD-NS" "Max" 64648.4395056275 14276
"3" "COD-NS" "Min" 14272.9384825937 14276
"4" "COD-NS" "Sq-E" 33236.4900148465 14276
"5" "HAD" "COD-NS" 61827.1233037345 128708
"6" "HAD" "Max" 358302.547656257 128708
"7" "HAD" "Min" 61823.7002810459 128708
"8" "HAD" "Sq-E" 137789.993413162 128708
"9" "NEP6" "COD-NS" 1039.06095259327 1940
"10" "NEP6" "Max" 5408.46549266931 1940
"11" "NEP6" "Min" 1038.83031559029 1940
"12" "NEP6" "Sq-E" 2239.53756658267 1940
"13" "NEP7" "COD-NS" 2616.76036362109 14803
"14" "NEP7" "Max" 14803 14803
"15" "NEP7" "Min" 2616.76036362109 14803
"16" "NEP7" "Sq-E" 5576.13300262134 14803
"17" "NEP8" "COD-NS" 897.090245862953 3216
"18" "NEP8" "Max" 4981.53930739198 3216
"19" "NEP8" "Min" 897.090245862953 3216
"20" "NEP8" "Sq-E" 1993.09983545803 3216
"21" "NEP9" "COD-NS" 477.118565124389 2062
"22" "NEP9" "Max" 2599.80738002536 2062
"23" "NEP9" "Min" 477.118565124389 2062
"24" "NEP9" "Sq-E" 1157.06331229204 2062
"25" "PLE-EC" "COD-NS" 2149.67599481117 6365
"26" "PLE-EC" "Max" 8879.5598099496 6365
"27" "PLE-EC" "Min" 1971.24858776414 6365
"28" "PLE-EC" "Sq-E" 4648.70733974008 6365
"29" "PLE-NS" "COD-NS" 43856.114719731 142508
"30" "PLE-NS" "Max" 209542.838997974 142508
"31" "PLE-NS" "Min" 43212.3717008087 142508
"32" "PLE-NS" "Sq-E" 107729.545234058 142508
"33" "POK" "COD-NS" 29151.02080833 49614
"34" "POK" "Max" 141641.914133805 49614
"35" "POK" "Min" 29150.964932465 49614
"36" "POK" "Sq-E" 67594.3269845296 49614
"37" "SOL-EC" "COD-NS" 1410.93668406155 2380
"38" "SOL-EC" "Max" 5524.12524931391 2380
"39" "SOL-EC" "Min" 1339.19666167506 2380
"40" "SOL-EC" "Sq-E" 3138.40315515708 2380
"41" "SOL-NS" "COD-NS" 6337.72353509862 15330
"42" "SOL-NS" "Max" 27433.6135140416 15330
"43" "SOL-NS" "Min" 6234.1303054851 15330
"44" "SOL-NS" "Sq-E" 15502.6061217704 15330
"45" "TUR" "COD-NS" 1311.23376937259 3291
"46" "TUR" "Max" 5822.51512513808 3291
"47" "TUR" "Min" 1283.33998516725 3291
"48" "TUR" "Sq-E" 3238.63202676138 3291
"49" "WHG-NS" "COD-NS" 23340.5779658596 88426
"50" "WHG-NS" "Max" 121076.735326137 88426
"51" "WHG-NS" "Min" 23047.2096062374 88426
"52" "WHG-NS" "Sq-E" 53698.2424929333 88426
"53" "WIT" "COD-NS" 987.083272451568 1206
"54" "WIT" "Max" 4382.17172079761 1206
"55" "WIT" "Min" 987.022522168938 1206
"56" "WIT" "Sq-E" 2315.36309584172 1206
